date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:23:19	96839/96839	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%22534c8e0-17a47-5c348d757a6f9%22	http://pxdraft.com/wrap/fusion/static/img/blog-3.jpg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/blog-3.jpg	(from http://pxdraft.com/wrap/fusion/)
11:23:24	187160/187160	UR-M--	200	added ('Partial%20Content')	image/png	etag:%22534c8eb-2db18-5c348d77f7a59%22	http://pxdraft.com/wrap/fusion/static/img/product-4.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/product-4.png	(from http://pxdraft.com/wrap/fusion/)
11:23:36	538288/538288	---M--	200	added ('OK')	image/png	etag:%22534c8d7-836b0-5c348d74fd6f5%22	http://pxdraft.com/wrap/fusion/static/img/about--themes-header.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/img/about--themes-header.png	(from http://pxdraft.com/wrap/fusion/about.html)
11:25:25	80821/80821	UR-M--	200	added ('Partial%20Content')	application/javascript	etag:%22534c919-13bb5-5c348d8379f44%22	http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/bootstrap/js/bootstrap.bundle.min.js	(from http://pxdraft.com/wrap/fusion/)
11:25:26	85044/85044	---M--	200	added ('OK')	font/woff2	etag:%22534c967-14c34-5c348d9630c17%22	http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/fonts/bootstrap-icons.woff2?8bd4575acf83c7696dc7a14a966660a3	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/fonts/bootstrap-iconse36a.woff2	(from http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/bootstrap-icons.css)
11:26:33	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22534c94d-207aa-5c348d8e9c8ed%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400d41d.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:26:43	89824/89824	---M--	200	added ('OK')	font/woff	etag:%22534c94e-15ee0-5c348d8e52953%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.woff	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:29:36	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22534c955-8656-5c348d8fac0b4%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400d41d.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:29:38	13584/13584	---M--	200	added ('OK')	font/woff2	etag:%22534c953-3510-5c348d8f5afd2%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.woff2	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:29:41	16800/16800	---M--	200	added ('OK')	font/woff	etag:%22534c952-41a0-5c348d8f4c571%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.woff	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:29:45	34092/34092	---M--	200	added ('OK')	font/ttf	etag:%22534c951-852c-5c348d8fdca0d%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.ttf	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:29:50	144322/144322	---M--	200	added ('OK')	image/svg+xml	etag:%22534c956-233c2-5c348d8ff44f6%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.svg	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:30:24	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22534c954-31896-5c348d9061711%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:30:51	79444/79444	---M--	200	added ('OK')	font/woff2	etag:%22534c959-13654-5c348d911465d%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.woff2	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:31:28	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22534c954-31896-5c348d9061711%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900d41d.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:32:39	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Jul%202021%2006:02:47%20GMT	http://pxdraft.com/wrap/fusion/static/vendor/owl-carousel/css/owl.video.play.png	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/owl-carousel/css/owl.video.play.49.delayed	(from http://pxdraft.com/wrap/fusion/static/vendor/owl-carousel/css/owl.carousel.min.css)
11:37:46	34390/34390	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:%22534c955-8656-5c348d8fac0b4%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-regular-400.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:37:50	103300/103300	UR-M--	200	added ('Partial%20Content')	font/woff	etag:%22534c95a-19384-5c348d912b58e%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.woff	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:38:01	113656/113656	UR-M--	200	added ('Partial%20Content')	font/woff	etag:%22534c963-1bbf8-5c348d964aa27%22	http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/fonts/bootstrap-icons.woff?8bd4575acf83c7696dc7a14a966660a3	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/fonts/bootstrap-iconse36a.woff	(from http://pxdraft.com/wrap/fusion/static/vendor/bootstrap/icons/bootstrap-icons.css)
11:38:02	715890/715890	---M--	200	added ('OK')	image/svg+xml	etag:%22534c94f-aec72-5c348d901d537%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.svg	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:38:04	76612/76612	UR-M--	200	added ('Partial%20Content')	font/woff2	etag:%22534c950-12b44-5c348d8e4eebb%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.woff2	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:38:04	133034/133034	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	etag:%22534c94d-207aa-5c348d8e9c8ed%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.eot	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:38:05	132728/132728	UR-M--	200	added ('Partial%20Content')	font/ttf	etag:%22534c94c-20678-5c348d8e8a00d%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-brands-400.ttf	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
11:38:05	202616/202616	UR-M--	200	added ('Partial%20Content')	font/ttf	etag:%22534c957-31778-5c348d9124c16%22	http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/fusion/pxdraft.com/wrap/fusion/static/vendor/fontawesome/webfonts/fa-solid-900.ttf	(from http://pxdraft.com/wrap/fusion/static/vendor/fontawesome/css/all.min.css)
